number_of_time_periods,lower_bounds,upper_bounds,best_solution,time_used,number_of_benders_iterations,number_of_sweeps,commitment_schedule,turning_on_schedule,turning_off_schedule,termination_reason
6,"[-inf, 231.0, 259.52666666666664, 266.5266666666667, 271.1420512820513, 279.9643027413588, 279.9643027413588]","[392.0, 392.0, 392.0, 392.0, 382.85, 382.85, 382.85]",382.85,55.3585991859436,7,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}, 4: {1: 1, 2: 0, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 1, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 276.28285714285715, 287.21500000000003, 287.21500000000003, 287.59, 287.59]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 391.5]",391.5,41.4884512424469,8,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 0, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 1, 2: 0, 3: 1}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 1}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 1, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 1}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 255.64285714285717, 266.575, 276.6224489795918, 288.95918367346934, 288.95918367346934, 288.95918367346934]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,65.75708723068237,8,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 239.22857142857143, 261.6571428571429, 263.9428571428572, 271.6571428571429]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,33.77116656303406,6,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 280.28, 280.28]","[392.0, 392.0, 392.0, 392.0, 392.0]",392.0,28.48650288581848,5,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 264.8757142857143, 268.19714285714286, 282.34000000000003, 293.10714285714283, 299.5875, 300.05357142857144, 300.05357142857144]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 371.05, 371.05, 371.05, 371.05]",371.05,102.699533700943,10,256000,"{1: {1: 1, 2: 0, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 251.22857142857143, 269.64, 275.44357142857143, 278.874693877551, 280.9318367346939, 286.30357142857144]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,84.8635401725769,8,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 255.64285714285717, 269.2792207792208, 279.4971428571429, 282.23285714285714, 293.0, 293.375, 298.34000000000003, 298.34000000000003]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 368.5, 368.5, 368.5]",368.5,90.18797039985657,10,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 1}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.52666666666664, 280.1666666666667, 282.6666666666667, 284.72380952380956]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,58.480281829833984,6,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 268.14285714285717, 277.37857142857143, 280.8071428571429, 283.8071428571429]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,49.64452815055847,7,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 264.8757142857143, 279.0185714285715, 289.78571428571433, 290.1607142857143, 290.1607142857143]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 367.55]",367.55,45.1715772151947,8,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 1}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 1}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 284.890977443609, 284.890977443609, 285.01954887218045]","[392.0, 381.1, 381.1, 381.1, 381.1]",381.1,56.040199518203735,5,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 0, 3: 1}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}, 6: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 1, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 1}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 272.14, 278.5685714285715, 278.5685714285715, 280.6257142857143]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,62.90972828865051,7,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 262.9614285714286, 279.6042857142857, 282.34000000000003]","[392.0, 392.0, 392.0, 392.0, 392.0, 385.05]",385.05,49.15045166015625,6,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 0}, 6: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 1}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 1}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 1}, 6: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 257.39473684210526, 267.75187969924815, 276.3888888888889, 287.27269841269845, 287.27269841269845]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 387.3]",387.3,58.398794412612915,7,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 0, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 1, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 1}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 1, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 1}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 264.88380952380953, 268.312380952381, 282.45523809523814, 293.2869047619048]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,46.7552490234375,7,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.52666666666664, 264.88380952380953, 277.39285714285717, 282.0266666666667]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,34.714752197265625,6,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 268.14285714285717, 272.734693877551, 280.98072562358277]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,52.08913516998291,6,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 267.75187969924815, 278.49695488721807, 287.04511278195486, 290.8571428571429, 294.28571428571433]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,50.53671646118164,8,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 272.14, 272.14, 274.19714285714286]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,37.96706485748291,6,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 272.14, 278.5685714285715, 285.5035714285715, 285.60357142857146, 289.62857142857143]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,61.02596139907837,8,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 254.0, 272.14, 272.14, 282.8507142857143, 282.8507142857143]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0]",392.0,56.727065086364746,7,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 280.28, 282.8507142857143, 282.8507142857143, 289.78571428571433, 293.10714285714283]","[392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 392.0, 378.35]",378.35,65.5013108253479,8,256000,"{1: {1: 1, 2: 0, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 1, 3: 0}, 5: {1: 0, 2: 0, 3: 1}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
6,"[-inf, 231.0, 259.64, 276.28285714285715]","[392.0, 392.0, 392.0, 392.0]",392.0,30.22450304031372,4,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}, 6: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}, 6: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
