number_of_time_periods,lower_bounds,upper_bounds,best_solution,time_used,number_of_benders_iterations,number_of_sweeps,commitment_schedule,turning_on_schedule,turning_off_schedule,termination_reason
3,"[-inf, 116.0, 140.64285714285714, 147.07142857142856, 148.71428571428572, 158.4052380952381, 161.11460794844254, 162.02882117882118, 162.02882117882118, 162.23711288711286, 162.47005583992555, 162.47005583992555, 162.47005583992555, 163.0676147959184]","[215.0, 215.0, 215.0, 203.5, 203.5, 203.5, 196.5, 193.5, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0]",193.0,75.83868217468262,14,256000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 140.64285714285714, 147.07142857142856, 154.7892857142857, 155.16428571428574, 160.70071428571427, 160.70071428571427]","[215.0, 215.0, 215.0, 215.0, 215.0, 205.5, 193.5, 193.5]",193.5,31.741066217422485,8,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 144.52666666666667, 151.52666666666667]","[215.0, 215.0, 215.0, 191.8]",191.8,3.6490671634674072,4,256000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known optimal solution for 3-period case
3,"[-inf, 116.0, 144.64, 145.015, 148.3364285714286, 155.27142857142857, 155.27142857142857, 160.69107142857143, 161.315, 162.99378881987576]","[215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 193.5, 193.5, 193.5, 193.5]",193.5,63.907973527908325,10,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 140.64285714285714, 147.07142857142856, 153.5]","[215.0, 215.0, 215.0, 215.0, 206.5]",206.5,19.487868309020996,5,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 144.64, 151.575, 154.62857142857143, 155.00357142857143, 155.325, 159.40535714285716, 159.52841031149302, 159.52841031149302, 159.52841031149302, 161.6147816091954]","[215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 200.55, 200.55, 200.55, 200.55, 200.55, 195.3]",195.3,98.17955803871155,12,256000,"{1: {1: 1, 2: 0, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 144.64]","[215.0, 215.0, 215.0]",215.0,11.129855394363403,3,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 137.14285714285714, 143.71084337349396]","[215.0, 215.0, 215.0, 191.8]",191.8,6.885806560516357,4,256000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known optimal solution for 3-period case
3,"[-inf, 116.0, 140.64285714285714, 145.23469387755102]","[215.0, 215.0, 215.0, 215.0]",215.0,29.207805156707764,4,256000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
3,"[-inf, 116.0, 132.36363636363637, 147.07142857142856, 147.07142857142856, 154.89642857142857, 160.48404761904763, 161.1919787332409, 161.4352795031056, 161.9691304347826, 162.57815591610606, 162.57815591610606, 162.57815591610606]","[215.0, 215.0, 215.0, 215.0, 215.0, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5]",193.5,102.23126983642578,13,256000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master problem failed to find feasible solution
