number_of_time_periods,lower_bounds,upper_bounds,best_solution,time_used,number_of_benders_iterations,number_of_runs,commitment_schedule,turning_on_schedule,turning_off_schedule,termination_reason
3,"[-inf, 116.0, 140.64285714285714, 151.575, 154.89642857142857, 154.89642857142857]","[215.0, 215.0, 215.0, 215.0, 215.0, 191.8]",191.8,3.0477230548858643,6,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 151.575, 154.7892857142857, 163.29642857142858, 163.4714285714286, 163.54285714285714, 163.54285714285714, 163.54285714285714, 163.54285714285714]","[215.0, 215.0, 215.0, 215.0, 195.3, 195.3, 195.3, 195.3, 195.3, 195.3, 191.8]",191.8,6.990488290786743,11,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 151.575, 154.89642857142857, 163.36785714285713, 163.36785714285713, 163.36785714285713, 163.36785714285713, 163.36785714285713, 163.36785714285713, 163.4714285714286, 163.57857142857142, 163.57857142857142, 163.57857142857142, 163.57857142857142, 163.57857142857142, 163.57857142857142]","[215.0, 215.0, 215.0, 215.0, 195.3, 195.3, 193.5, 193.5, 193.5, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0]",193.0,28.79590654373169,18,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}}",Master Problem DADK Failed
3,"[-inf, 116.0, 144.64, 147.90785714285715, 147.96142857142857, 154.89642857142857, 154.89642857142857, 155.1642857142857, 160.72017857142856, 162.39285714285714, 162.39285714285714, 163.30892857142857, 163.30892857142857, 163.30892857142857, 163.30892857142857, 163.30892857142857, 163.30892857142857]","[215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5, 193.5]",193.5,44.59531760215759,17,1000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}}",Master Problem DADK Failed
3,"[-inf, 116.0, 132.36363636363637, 147.07142857142856, 154.7892857142857, 155.00357142857143, 155.27142857142857, 161.74357142857144, 161.74357142857144]","[215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 193.0, 193.0, 191.8]",191.8,5.238633394241333,9,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 151.575, 151.95, 155.16428571428574, 155.325, 155.325, 163.30892857142857, 163.3089285714286, 163.3089285714286, 163.3089285714286, 163.3089285714286, 163.3089285714286, 163.3089285714286, 163.57857142857142, 163.57857142857142]","[215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 215.0, 203.05, 203.05, 203.05, 203.05, 196.5, 196.5, 193.0, 193.0, 193.0, 191.8]",191.8,19.047584772109985,17,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 151.575, 155.00357142857143, 155.27142857142857]","[215.0, 215.0, 215.0, 215.0, 215.0, 191.8]",191.8,3.061281204223633,6,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 151.575, 155.00357142857143, 158.96142857142857, 161.21142857142857, 161.21142857142857, 162.29354207436398, 162.37466307277626, 162.37466307277626, 162.37466307277626, 162.37466307277626, 162.37466307277626, 162.37466307277626, 162.37466307277626]","[215.0, 215.0, 215.0, 215.0, 193.5, 193.5, 193.5, 193.5, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 191.8]",191.8,13.808041334152222,16,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 147.96142857142857, 154.89642857142857, 155.1642857142857]","[215.0, 215.0, 215.0, 215.0, 215.0, 191.8]",191.8,3.0176894664764404,6,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}}",Known Optimal Solution Found for 3-Period Case
3,"[-inf, 116.0, 144.64, 151.575, 155.00357142857143, 159.71142857142857, 161.56857142857143, 161.74357142857144, 161.7882142857143, 161.7882142857143, 161.7882142857143, 161.7882142857143, 161.7882142857143, 161.7882142857143, 163.54285714285714, 163.54285714285714, 163.54285714285714]","[215.0, 215.0, 215.0, 215.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0, 193.0]",193.0,22.19239902496338,17,1000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}}",Stagnation Limit Reached
