number_of_time_periods,lower_bounds,upper_bounds,best_solution,time_used,number_of_benders_iterations,number_of_runs,commitment_schedule,turning_on_schedule,turning_off_schedule,termination_reason
5,"[-inf, 191.0, 214.0, 220.42857142857147, 237.05357142857147, 243.40714285714287, 243.40714285714287, 243.40714285714287, 243.40714285714287, 246.63928571428573, 246.63928571428573, 246.63928571428573, 246.63928571428573, 246.63928571428573, 255.53769841269838, 255.53769841269838, 255.53769841269838, 256.0154761904762, 256.0154761904762, 256.1154761904762, 256.1154761904762]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 294.0, 294.0, 294.0, 294.0, 294.0, 294.0, 294.0, 294.0]",294.0,179.9824573993683,21,2000,"{1: {1: 1, 2: 1, 3: 0}, 2: {1: 1, 2: 1, 3: 0}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Master Problem DADK Failed
5,"[-inf, 191.0, 219.64, 238.765, 238.9075, 241.3357142857143, 244.65714285714284, 253.24761904761905, 253.24761904761905, 253.46428571428572, 256.13214285714287, 256.13214285714287, 256.2392857142857, 256.32678571428573, 256.32678571428573, 256.32678571428573, 256.32678571428573, 256.68801020408165, 256.68801020408165, 256.68801020408165, 256.68801020408165, 256.68801020408165, 256.68801020408165, 256.68801020408165]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 303.0, 303.0, 303.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0, 297.0]",297.0,71.86361956596375,24,2000,"{1: {1: 1, 2: 0, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Stagnation Limit Reached
5,"[-inf, 191.0, 219.64, 224.8757142857143, 241.3357142857143, 244.55, 244.55, 244.76428571428576, 245.03214285714284, 258.44642857142856, 258.44642857142856, 258.44642857142856, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 313.3, 313.3, 313.3, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0]",306.0,158.87568044662476,25,2000,"{1: {1: 0, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 0, 2: 1, 3: 0}, 2: {1: 1, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Stagnation Limit Reached
5,"[-inf, 191.0, 218.125, 238.765, 238.9075, 242.22892857142858, 244.65714285714284]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 293.5]",293.5,10.906343221664429,7,2000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Known Optimal Solution Found for 5-Period Case
5,"[-inf, 191.0, 219.64, 238.765, 238.765, 238.765, 254.75, 256.8928571428571, 257.0678571428572, 257.0678571428572, 257.0678571428572, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284, 258.78214285714284]","[330.0, 330.0, 330.0, 330.0, 330.0, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3, 311.3]",311.3,107.99332046508789,24,2000,"{1: {1: 1, 2: 0, 3: 0}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 0, 3: 1}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 1}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 1, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 1}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 1, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 0, 3: 0}}",Stagnation Limit Reached
5,"[-inf, 191.0, 218.125, 230.625, 230.625, 237.05357142857147, 237.05357142857147, 245.40714285714287, 245.40714285714287, 245.40714285714287, 245.78214285714287, 245.78214285714287, 245.78214285714287, 245.78214285714287, 245.78214285714287, 253.36496240601505, 253.36496240601505, 253.36496240601505, 253.36496240601505, 253.36496240601505, 253.6281537176274, 253.6281537176274, 253.6281537176274, 255.33827903091063, 255.33827903091063]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 320.05, 320.05, 320.05, 320.05, 320.05, 318.55, 318.55, 318.55, 306.0, 306.0, 306.0]",306.0,202.80441045761108,25,2000,"{1: {1: 0, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 0, 2: 1, 3: 0}, 2: {1: 1, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Master Problem DADK Failed
5,"[-inf, 191.0, 219.64, 224.8757142857143, 241.3357142857143, 244.65714285714284, 257.92857142857144, 257.92857142857144, 257.92857142857144, 257.92857142857144, 257.92857142857144, 258.44642857142856, 258.44642857142856, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5267857142857, 258.5477405247814]","[330.0, 330.0, 330.0, 330.0, 330.0, 313.3, 313.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 310.3, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0, 306.0]",306.0,155.1638743877411,30,2000,"{1: {1: 0, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 0, 2: 1, 3: 0}, 2: {1: 1, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Max Iterations Reached
5,"[-inf, 191.0, 219.64, 238.765, 241.9792857142857, 241.9792857142857, 244.55, 244.55, 244.55, 244.55, 244.55, 244.55, 244.55, 244.55, 244.55, 244.55, 244.76428571428576, 245.03214285714284, 245.0857142857143, 245.0857142857143, 245.0857142857143, 245.0857142857143]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0]",330.0,111.05906367301941,22,2000,"{1: {1: 1, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 1}, 5: {1: 1, 2: 1, 3: 1}}","{1: {1: 1, 2: 1, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Master Problem DADK Failed
5,"[-inf, 191.0, 218.125, 238.765, 238.9075, 252.0575, 254.34321428571428, 254.34321428571428, 254.34321428571428, 254.34321428571428, 256.6714285714286, 256.6714285714286, 256.6714285714286, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143, 256.8107142857143]","[330.0, 330.0, 330.0, 330.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0, 305.0]",305.0,58.66835260391235,23,2000,"{1: {1: 1, 2: 0, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 1}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 1, 2: 0, 3: 0}, 2: {1: 0, 2: 1, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 1}, 5: {1: 0, 2: 0, 3: 0}}",Stagnation Limit Reached
5,"[-inf, 191.0, 218.125, 229.425, 235.1392857142857, 235.21683673469389, 244.55, 244.55, 244.925, 244.925, 245.03214285714284, 245.03214285714284, 245.03214285714284, 245.0857142857143, 245.0857142857143, 247.32892857142855, 247.32892857142855]","[330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 330.0, 306.0, 306.0, 306.0]",306.0,92.53975176811218,17,2000,"{1: {1: 0, 2: 1, 3: 1}, 2: {1: 1, 2: 1, 3: 1}, 3: {1: 1, 2: 1, 3: 0}, 4: {1: 1, 2: 1, 3: 0}, 5: {1: 1, 2: 1, 3: 0}}","{1: {1: 0, 2: 1, 3: 0}, 2: {1: 1, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 0}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}","{1: {1: 0, 2: 0, 3: 0}, 2: {1: 0, 2: 0, 3: 0}, 3: {1: 0, 2: 0, 3: 1}, 4: {1: 0, 2: 0, 3: 0}, 5: {1: 0, 2: 0, 3: 0}}",Master Problem DADK Failed
